積算分野１,課,内容,作業内容
1,DTP,101,組版（PC作業）
1,DTP,102,組版（その他）
2,製版,103,面付出力
1,DTP,104,刷り紙検版
1,DTP,105,原稿整理
1,DTP,106,校正
1,DTP,107,データ処理
4,印刷,108,EC110出力
4,印刷,109,SC170出力
4,印刷,110,d5000出力
4,印刷,111,C9100出力
4,印刷,112,d5150出力
1,DTP,113,DTP製作
1,DTP,114,Office製作
1,DTP,115,修正確認
1,DTP,116,ネット・メール
1,DTP,117,組版手作業
5,加工,118,カットローダー
5,加工,120,きりっ子
1,DTP,124,ＰＤＦ作成
1,DTP,125,ＣＤ焼き
1,DTP,141,web作成
2,製版,152,ＣＴＰ検版
1,DTP,153,スキャン
2,製版,157,ＰＳ焼付け
1,DTP,191,営業･在宅対応
1,DTP,192,来社対応
5,加工,401,コンビ16
5,加工,402,オリスター
5,加工,403,丁合機
5,加工,404,無線
5,加工,405,ライン
5,加工,406,仕上断裁機
5,加工,407,Ｍ断裁機
5,加工,408,Ｍ中綴じ機
5,加工,409,Ｓ中綴じ機
5,加工,410,ハンマー
5,加工,411,穴あけ
5,加工,412,結束機
5,加工,413,帯封機
5,加工,414,ミシン
5,加工,415,クロス
5,加工,416,角丸
5,加工,417,筋入れ
5,加工,418,コンビＫＴ
5,加工,419,平とじ
5,加工,420,コンビ
5,加工,431,手作業
5,加工,432,中入れ
5,加工,433,手丁合
5,加工,434,巻き返し
6,包装,435,荷作り
6,包装,436,包装
5,加工,437,名簿箱入れ
5,加工,438,計数
5,加工,439,検品
5,加工,440,プレス
5,加工,441,ライン丁合
5,加工,442,ＰＰ加工
5,加工,443,タック出力
5,加工,444,巻き
5,加工,445,封入作業
5,加工,446,ライン投げ込み
5,加工,447,中綴じ投げ込み
5,加工,448,ライン補助
5,加工,449,ライン丁合補助
5,加工,450,中綴じ補助
4,印刷,301,印刷準備
4,印刷,302,作業トラブル
4,印刷,304,菊半４色機印刷
4,印刷,305,単色機印刷
3,資材,320,資材断裁
4,印刷,311,菊全４色機印刷
4,印刷,312,インキ練合せ
4,印刷,313,用紙準備
4,印刷,314,色替え
4,印刷,315,菊全機版付け
4,印刷,316,菊半機版付け
4,印刷,317,単色機版付け
4,印刷,318,用紙返し
4,印刷,321,資材紙積み
4,印刷,331,印刷準備菊全
4,印刷,332,印刷準備菊半
4,印刷,333,印刷準備単色
4,印刷,334,インキ練合せ菊全
4,印刷,335,インキ練合せ菊半
4,印刷,336,インキ練合せ単色
4,印刷,337,用紙準備菊全
4,印刷,338,用紙準備菊半
4,印刷,339,用紙準備単色
4,印刷,340,色替え菊全
4,印刷,341,色替え菊半
4,印刷,342,色替え単色
4,印刷,347,菊全機準備
4,印刷,348,菊半機準備
4,印刷,349,単色機準備
7,その他,901,顧客対応
7,その他,902,外注手配
7,その他,903,配送・納品
7,その他,904,全体朝礼
7,その他,905,ミーティング
7,その他,906,教育学習
7,その他,907,メンテナンス
7,その他,908,工務・管理
7,その他,909,データ整理
7,その他,910,清掃
7,その他,911,業者対応
7,その他,912,作業打ち合わせ
7,その他,913,作業予定確認
7,その他,915,日報入力
7,その他,916,印刷予定入力
7,その他,917,製品予定入力
7,その他,918,パート対応
7,その他,919,カゴ交換
7,その他,920,その他
7,その他,921,版・用紙待ち
7,その他,922,作業トラブル
7,その他,923,機械修理
7,その他,930,ｐマーク
,,,
