段ボール番号,番号,店舗名,枚数,店番,郵便番号,住所,電話番号,start番号,end番号,送付ID
1,1,川尻支店,320,2,861-4115,熊本市南区川尻４－３－５２　　　　　　　　　　　　,096-357-9654,1,320,1
1,2,水前寺支店,430,3,862-0956,熊本市水中央区水前寺公園１－１　　　　　　　　　　　　,096-383-3177,321,750,2
1,3,下通支店,420,4,860-0808,熊本市中央区手取本町５－１０　　　　　　　　　　　　　,096-353-0171,751,1170,3
1,4,浄行寺支店,560,5,860-0863,熊本市中央区坪井４－１９－１８　　　　　　　　　　,096-343-4121,1171,1730,4
1,5,田崎支店,580,6,860-0053,熊本市西区田崎２－２－３３　　　　　　　　　　　　,096-354-3531,1731,2310,5
1,6,託麻支店,310,9,861-8034,熊本県熊本市東区八反田１－１－５　　　　　,096-382-4530,2311,2620,6
1,7,南熊本支店,210,10,860-0831,熊本市中央区八王寺町３０－１　　　　　　　　　　　　　,096-370-1331,2621,2830,7
1,8,玉名支店,590,12,865-0051,熊本県玉名市繁根木９１　　　　　　　　　　　　,0968-73-3144,2831,3420,8
1,9,宮地支店,200,13,869-2612,熊本県阿蘇市一の宮町宮地１８７１－５　　　　　　,0967-22-0521,3421,3620,9
1,10,小国支店,130,17,869-2501,熊本県阿蘇郡小国町宮原１７８４－１　　　　　,0967-46-3125,3621,3750,10
1,11,浜町支店,150,18,861-3518,熊本県上益城郡山都町浜町１６５－５　　　　　　　,0967-72-1125,3751,3900,11
1,12,日赤通支店,290,19,862-0920,熊本市東区月出１－８－１９　　　　　　　　　　　　,096-381-1211,3901,4190,12
1,13,武蔵ヶ丘支店,790,20,861-8001,熊本市北区武蔵ケ丘３－１０－１　　　　　　　　　　,096-339-3131,4191,4980,13
1,14,人吉支店,300,21,868-0005,熊本県人吉市上青井町１４４　　　　　　　　　　,0966-22-4115,4981,5280,14
1,15,水俣支店,280,23,867-0066,熊本県水俣市古賀町１－２－５　　　　　　　　　,0966-63-3171,5281,5560,15
1,16,多良木支店,160,27,868-0501,熊本県球磨郡多良木町多良木９８５－３,0966-42-2019,5561,5720,16
1,17,新大江支店,200,29,862-0972,熊本市中央区新大江３－１９－１４　　　　　　　　　,096-384-3222,5721,5920,17
1,18,荒尾支店,260,31,864-0054,熊本県荒尾市大正町１－１－２０　　　　　　　　,0968-62-1151,5921,6180,18
1,19,福岡営業部,440,35,812-0026,福岡県福岡市博多区上川端町９－１６６　　　　　　　　　,092-281-0323,6181,6620,19
1,20,出水支店,200,43,899-0202,鹿児島県出水市昭和町１１－１,0996-62-0581,6621,6820,20
1,21,川内支店,190,45,895-0027,鹿児島県薩摩川内市西向田町３－９　　　　　　　　,0996-22-4148,6821,7010,21
1,22,田迎支店,310,47,862-0963,熊本市南区出仲間８－３－１　　　　　　　　　　　,096-378-1232,7011,7320,22
1,23,崇城大学通支店,320,49,860-0079,熊本市西区上熊本３－１６－６　　　　　　　　　　　,096-352-9611,7321,7640,23
1,24,東託麻支店,440,50,861-8035,熊本市東区御領２－７－３３　　　　　　　　　　　　,096-389-3434,7641,8080,24
1,25,大江白川支店,400,56,862-0971,熊本市中央区大江３－２－３４　　　　　　　,096-371-6000,8081,8480,25
1,26,本店営業部,1370,100,862-8601,熊本市中央区水前寺６－２９－２０　　　　　　　　　　,096-385-1111,8481,9850,26
1,27,桜木支店,150,111,861-2118,熊本市東区花立３－１５－２２　　　　　　　　　　,096-367-5711,12461,12610,30
