地域名,主地域名,区番号,行政区名,予備込み
山鹿地域,山鹿地区,1月1日,宗方南1-1,100
山鹿地域,山鹿地区,1月1日,宗方南1-1,100
山鹿地域,山鹿地区,1月1日,宗方南1-1,71
山鹿地域,山鹿地区,1月2日,宗方北1-2,100
山鹿地域,山鹿地区,1月2日,宗方北1-2,100
山鹿地域,山鹿地区,1月2日,宗方北1-2,100
山鹿地域,山鹿地区,1月2日,宗方北1-2,101
山鹿地域,山鹿地区,2,山鹿下町,113
山鹿地域,山鹿地区,3,山鹿中町,100
山鹿地域,山鹿地区,3,山鹿中町,53
山鹿地域,山鹿地区,4,上市町,41
山鹿地域,山鹿地区,5,南本町,100
山鹿地域,山鹿地区,5,南本町,66
山鹿地域,山鹿地区,6,栄　町,100
山鹿地域,山鹿地区,6,栄　町,64
山鹿地域,山鹿地区,7,温泉通,33
山鹿地域,山鹿地区,8,花見坂,66
山鹿地域,山鹿地区,9,大宮通,102
山鹿地域,山鹿地区,10,上広町,44
山鹿地域,山鹿地区,12,九日町,100
山鹿地域,山鹿地区,12,九日町,26
山鹿地域,山鹿地区,13,日吉町,41
山鹿地域,山鹿地区,14,堀明町,57
山鹿地域,山鹿地区,15,上　町,62
山鹿地域,山鹿地区,16,北　町,65
山鹿地域,山鹿地区,17,松坂町,81
山鹿地域,山鹿地区,18,西上町,97
山鹿地域,山鹿地区,19,東通町,71
山鹿地域,山鹿地区,20,天神町,12
山鹿地域,山鹿地区,21,明治町,29
山鹿地域,山鹿地区,22,栗　林,100
山鹿地域,山鹿地区,22,栗　林,100
山鹿地域,山鹿地区,22,栗　林,100
山鹿地域,山鹿地区,22,栗　林,86
山鹿地域,山鹿地区,23,桜町中,100
山鹿地域,山鹿地区,23,桜町中,81
山鹿地域,山鹿地区,24,桜町西,100
山鹿地域,山鹿地区,24,桜町西,37
山鹿地域,山鹿地区,25,原　町,100
山鹿地域,山鹿地区,25,原　町,100
山鹿地域,山鹿地区,25,原　町,68
山鹿地域,山鹿地区,26,泉　町,100
山鹿地域,山鹿地区,26,泉　町,41
山鹿地域,山鹿地区,27,新　町,100
山鹿地域,山鹿地区,27,新　町,72
山鹿地域,山鹿地区,28,温泉ﾌﾟﾗｻﾞ・広町,62
山鹿地域,山鹿地区,29,大宮町,100
山鹿地域,山鹿地区,29,大宮町,100
山鹿地域,山鹿地区,29,大宮町,100
山鹿地域,山鹿地区,29,大宮町,36
山鹿地域,米田地区,2,坂田,65
山鹿地域,米田地区,5,小原,92
山鹿地域,米田地区,6,長坂,110
山鹿地域,米田地区,9,上ノ丁,34
山鹿地域,米田地区,10,本　村,108
山鹿地域,米田地区,11,内　曲,100
山鹿地域,米田地区,11,内　曲,57
山鹿地域,米田地区,12,中ノ丁,39
山鹿地域,米田地区,13,橋　場,45
山鹿地域,米田地区,14,志々岐14,55
山鹿地域,米田地区,15,志々岐15,37
山鹿地域,米田地区,16,志々岐16,61
山鹿地域,川辺地区,1,鍋田1,16
山鹿地域,川辺地区,2,鍋田2,66
山鹿地域,川辺地区,3,田園中村,44
山鹿地域,川辺地区,4,八幡林,26
山鹿地域,川辺地区,5,六枝梅迫,14
山鹿地域,川辺地区,6,上保多田,11
山鹿地域,川辺地区,7,桑の迫,16
山鹿地域,川辺地区,8,下保多田,16
山鹿地域,川辺地区,9,麻生野,25
山鹿地域,川辺地区,10,椿　井,32
山鹿地域,川辺地区,1月11日,西　牧,36
山鹿地域,川辺地区,1月12日,鍋田団地,91
山鹿地域,八幡地区,1,名　塚,86
山鹿地域,八幡地区,2月1日,下吉田2-1,100
山鹿地域,八幡地区,2月1日,下吉田2-1,118
山鹿地域,八幡地区,2月2日,宮　苑2-2,113
山鹿地域,八幡地区,3,村熊入,89
山鹿地域,八幡地区,4月1日,熊入下4-1,100
山鹿地域,八幡地区,4月1日,熊入下4-1,76
山鹿地域,八幡地区,4月2日,熊入上4-2,100
山鹿地域,八幡地区,4月2日,熊入上4-2,109
山鹿地域,八幡地区,5,石　5,100
山鹿地域,八幡地区,5,石　5,21
山鹿地域,八幡地区,6,石　6,100
山鹿地域,八幡地区,6,石　6,46
山鹿地域,八幡地区,7,杉,100
山鹿地域,八幡地区,7,杉,100
山鹿地域,八幡地区,7,杉,37
山鹿地域,八幡地区,8,日輪台,43
山鹿地域,平小城地区,1,堂ケ原,17
山鹿地域,平小城地区,2,双　板,35
山鹿地域,平小城地区,3,笹　原,29
山鹿地域,平小城地区,4,湯　山,45
山鹿地域,平小城地区,5,前川内,34
山鹿地域,平小城地区,6,内　野,22
山鹿地域,平小城地区,7,堂ノ原,28
山鹿地域,平小城地区,8,城　1,35
山鹿地域,平小城地区,9,城　2,27
山鹿地域,平小城地区,11,保　柳,39
山鹿地域,平小城地区,12,小　群,25
山鹿地域,平小城地区,13,央,101
山鹿地域,平小城地区,14,大　原,21
山鹿地域,平小城地区,15,城ケ原,30
山鹿地域,三岳地区,1,白　坂,45
山鹿地域,三岳地区,2,中小坂,47
山鹿地域,三岳地区,3,下小坂,35
山鹿地域,三岳地区,4,今　寺,41
山鹿地域,三岳地区,5,仲　間,84
山鹿地域,三岳地区,6,下　宮,116
山鹿地域,三岳地区,7,中津留,54
山鹿地域,三岳地区,8,小鳥町,33
山鹿地域,三岳地区,9,寺 島9,68
山鹿地域,三岳地区,10,寺 島10,76
山鹿地域,三岳地区,11,津留団地,101
山鹿地域,三玉地区,1月1日,蒲　生,86
山鹿地域,三玉地区,1月2日,山鹿福原,51
山鹿地域,三玉地区,4,霊　仙,100
山鹿地域,三玉地区,1月4日,霊　仙,100
山鹿地域,三玉地区,1月4日,霊　仙,60
山鹿地域,三玉地区,5月1日,八ﾉ峰5-1,34
山鹿地域,三玉地区,5月2日,涌尾5-2,85
山鹿地域,三玉地区,6,山鹿五郎丸,106
山鹿地域,三玉地区,7月1日,堀内深倉7-1,28
山鹿地域,三玉地区,7月2日,犬塚7-2,61
山鹿地域,三玉地区,8,今　田,34
山鹿地域,三玉地区,10,上吉田,102
山鹿地域,三玉地区,11,久原団地,100
山鹿地域,三玉地区,11,久原団地,71
山鹿地域,大道地区,1,藤井１,73
山鹿地域,大道地区,2,藤井２,47
山鹿地域,大道地区,3,日　置,100
山鹿地域,大道地区,3,日　置,90
山鹿地域,大道地区,1月4日,馬見塚,100
山鹿地域,大道地区,1月4日,馬見塚,100
山鹿地域,大道地区,1月4日,馬見塚,100
山鹿地域,大道地区,1月4日,馬見塚,94
山鹿地域,大道地区,1月5日,方保田,100
山鹿地域,大道地区,1月5日,方保田,118
山鹿地域,大道地区,6月1日,白石十三部 ①,100
山鹿地域,大道地区,6月1日,白石十三部 ①,100
山鹿地域,大道地区,6月1日,白石十三部 ①,33
山鹿地域,大道地区,6月2日,白石十三部 ②,100
山鹿地域,大道地区,6月2日,白石十三部 ②,100
山鹿地域,大道地区,6月2日,白石十三部 ②,100
山鹿地域,大道地区,6月2日,白石十三部 ②,32
山鹿地域,大道地区,6月3日,白石十三部 ③,100
山鹿地域,大道地区,6月3日,白石十三部 ③,100
山鹿地域,大道地区,6月3日,白石十三部 ③,36
山鹿地域,大道地区,6月4日,白石十三部 ④,111
山鹿地域,大道地区,6月5日,白石十三部 ⑤,100
山鹿地域,大道地区,6月5日,白石十三部 ⑤,100
山鹿地域,大道地区,6月5日,白石十三部 ⑤,22
山鹿地域,大道地区,1月7日,古　閑,111
山鹿地域,大道地区,8月1日,中 1,100
山鹿地域,大道地区,8月1日,中 1,100
