伝票ＮＯ,品名,発注日１,完了日１,枚数１,決定金額１,発注日２,完了日２,枚数２,決定金額２
9200716,地理総合演習ノート　本誌他1点,R 4/ 4/ 5,R 4/ 4/ 6,1650,"33,165",,,,
9200719,地理総合演習ノート  本誌他1点,R 4/ 4/13,R 4/ 4/14,1650,"33,165",,,,
9200735,共通テスト実力トレーニング日本史  本誌他1点,R 4/ 5/19,R 4/ 5/20,2740,"87,680",R 4/ 5/19,R 4/ 5/20,440,"14,080"
9200764,共通テスト実力トレーニング日本史  本誌他1点,R 4/ 9/ 9,R 4/ 9/12,1900,"61,476",,,,
9200783,新歴史総合研究ノート増刷　本誌他1点,R 4/10/11,R 4/10/12,2700,"69,120",,,,
9200785,新歴史総合要点ノート　本誌他1点,R 4/10/ 5,R 4/10/ 7,675,"92,800",R 4/10/ 5,R 4/10/ 7,2700,"21,600"
9200790,新地理の研究　本誌他1点,R 4/10/13,R 4/10/14,1400,"36,960",,,,
9200796,新公共要点ノート  本誌他1点,R 4/10/17,R 4/10/18,850,"22,440",R 4/10/17,R 4/10/18,2900,"74,240"
9200794,地理総合演習ノート  本誌他1点,R 4/10/17,R 4/10/18,1350,"28,215",R 4/10/17,R 4/10/18,1900,"38,190"
9200798,新公共研究ノート  本誌他1点,R 4/10/17,R 4/10/18,1300,"34,320",R 4/10/17,R 4/10/18,4450,"112,140"
9200800,新世界史研究ノート(標準編)  本誌他1点,R 4/10/17,R 4/10/18,1300,"27,170",,,,
