きんがく,でんぴょう
2570,66414699142
370,66414699153
370,66414699164
370,66414699175
370,66414699186
370,66414699190
370,66414699201
370,66414699212
370,66414699223
370,66414699234
370,66414699245
370,66414699256
370,66414699260
370,66414699271
370,66414699282
370,66414699293
370,66414699304
370,66414699315
890,66414699326
890,66414699330
890,66414699341
890,66414699352
890,66414699363
890,66414699374
370,66414699385
370,66414699396
370,66414699400
370,66414699411
370,66414699422
890,66414699433
370,66414699444
370,66414699455
370,66414699466
370,66414699470
370,66414699481
370,66414699492
370,66414699503
370,66414699514
370,66414699525
370,66414699536
370,66414699540
370,66414699551
370,66414699562
370,66414699573
370,66414699584
370,66414699595
370,66414699606
370,66414699610
370,66414699621
370,66414699632
370,66414699643
370,66414699654
370,66414699665
370,66414699676
890,66414699680
370,66414699691
370,66414699702
370,66414699713
370,66414699724
13060,66414699735
370,48301516992
1780,66414699746
370,48301517025
1840,66414699761
17040,66414699750
10570,66414699772
380,66481711310
1070,66481711321
380,66481711332
380,66481711343
380,66481711354
380,66481711365
380,66481711376
380,66481711380
380,66481711391
380,66481711402
380,66481711413
380,66481711424
380,66481711435
380,66481711446
380,66481711450
380,66481711461
380,66481711472
380,66481711483
380,66481711494
380,66481711505
380,66481711516
380,66481711520
380,66481711531
380,66481711542
380,66481711553
380,66481711564
1790,66481711575
380,66481711586
380,66481711590
380,66481711601
380,66481711612
720,66481711623
380,66481711634
380,66481711645
380,66481711656
380,66481711660
380,66481711671
710,66481711682
380,66481711693
380,66481711704
380,66481711715
380,66481711726
380,66481711730
380,66481711741
1070,66481711752
2150,66481711763
720,66481711774
710,66481711785
380,66481711796
1070,66481711800
1070,66481711811
380,66481711822
380,66481711833
380,66481711844
380,66481711855
380,66481711866
380,66481711870
380,66481711881
720,66481711892
720,66481711903
380,66481711914
380,66481711925
380,66481711936
380,66481711940
380,66481711951
380,66481711962
380,66481711973
380,66481711984
380,66481711995
380,66482042001
380,66482042012
380,66482042023
380,66482042034
380,66482042045
380,66482042056
380,66482042060
380,66482042071
380,66482042082
380,66482042093
380,66482042104
380,66482042115
380,66482042126
380,66482042130
380,66482042141
380,66482042152
380,66482042163
380,66482042174
380,66482042185
380,66482042196
380,66482042200
380,66482042211
380,66482042222
380,66482042233
380,66482042244
380,66482042255
380,66482042266
380,66482042270
380,66482042281
380,66482042292
380,66482042303
380,66482042314
380,66482042325
380,66482042336
380,66482042340
380,66482042351
660,66482042362
380,66482042373
380,66482042384
380,66482042395
380,66482042406
380,66482042410
380,66482042421
380,66482042432
380,66482042443
380,66482042454
380,66482042465
380,66482042476
380,66482042480
380,66482042491
380,66482042502
380,66482042513
380,66482042524
380,66482042535
380,66482042546
380,66482042550
380,66482042561
380,66482042572
380,66482042583
380,66482042594
380,66482042605
380,66482042616
380,66482042620
380,66482042631
380,66482042642
380,66482042653
380,66482042664
1070,66482042675
380,66482042686
380,66482042690
380,66482042701
380,66482042712
380,66482042723
380,66482042734
660,66482042745
380,66482042756
380,66482042760
380,66482042771
380,66482042782
380,66482042793
380,66482042804
380,66482042815
380,66482042826
380,66482042830
380,66482042841
380,66482042852
380,66482042863
380,66482042874
380,66482042885
380,66482042896
380,66482042900
380,66482042911
380,66482042922
380,66482042933
380,66482042944
380,66482042955
380,66482042966
380,66482042970
380,66482042981
380,66482042992
380,66482064003
380,66482064014
7460,66482064025
650,66414699783
650,66414699794
650,66414699805
650,66414699816
650,66414699820
650,66414699831
650,66414699842
370,66414699853
650,66414699864
660,66414699875
650,66414699886
650,66414699890
370,66414699901
370,66414699912
370,66414699923
890,66414699934
650,66414699945
370,66414699956
370,66414699960
370,66414699971
370,66414699982
650,66414699993
370,66481711004
370,66481711015
370,66481711026
370,66481711030
370,66481711041
370,66481711052
370,66481711063
370,66481711074
650,66481711085
890,66481711096
890,66481711100
890,66481711111
650,66481711122
370,66481711133
370,66481711144
370,66481711155
370,66481711166
370,66481711170
370,66481711181
370,66481711192
370,66481711203
370,66481711214
370,66481711225
370,66481711236
370,66481711240
370,66481711251
370,66481711262
370,66481711273
370,66481711284
370,66481711295
370,66481711306
380,66482064036
380,66482064040
380,66482064051
380,66482064062
380,66482064073
380,66482064084
380,66482064095
380,66482064106
380,66482064110
380,66482064121
380,66482064132
520,66482064143
380,66482064154
