得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,230228,7976859,230203,66482064165,     ,1,    1,    0,   145,    2400,       0,    50,       0, ,2,熊本県熊本市,2,熊本東（営）,0962276590,                ,43105010,0001,0962276590,0000050
0964323132,      ,230228,7976859,230206,48301517040,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,菊池郡菊陽町,2,熊本東（営）,0963405839,                ,43404999,0001,          ,0000010
0964323132,      ,230228,7976859,230206,66482064176,     ,1,    2,    0,  1032,   13500,       0,     0,       0, ,2,福岡市南区　,2,福岡南営業所,0925874341,                ,40134045,0113,          ,0000510
0964323132,      ,230228,7976859,230208,48301517084,     ,1,    1,    0,    82,    2000,       0,     0,       0, ,2,水俣市　　　,2,出水営業所　,0966626262,                ,43205010,0107,          ,0000050
0964323132,      ,230228,7976859,230208,66482064180,     ,1,    3,    0,  2091,   23100,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925874341,                ,40134045,0113,0925874341,0000960
0964323132,      ,230228,7976859,230214,48301517132,     ,1,    3,    0,  1445,   17400,       0,     0,       0, ,2,大野城市　　,2,大野城営業所,0925885071,                ,40219014,0104,          ,0000690
0964323132,      ,230228,7976859,230215,47525663474,     ,1,    1,    0,   236,    3600,       0,     0,       0, ,2,春日市　　　,2,大野城営業所,          ,                ,40218999,0104,          ,0000120
0964323132,      ,230228,7976859,230216,48508990003,     ,1,    2,    0,   930,   12000,       0,     0,       0, ,2,大野城市　　,2,大野城営業所,0925885071,                ,40219014,0104,          ,0000440
0964323132,      ,230228,7976859,230220,47596465976,     ,1,    2,    0,  1050,   13500,       0,     0,       0, ,2,大野城市　　,2,大野城営業所,0925885071,                ,40219014,0104,          ,0000510
0964323132,      ,230228,7976859,230220,48508973962,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,菊池郡菊陽町,2,熊本東（営）,0963405839,                ,43404999,0001,          ,0000010
0964323132,      ,230228,7976859,230220,66482064202,     ,1,    1,    0,     6,     370,       0,    50,       0, ,2,福岡県福岡市,2,福岡南営業所,0925417055,                ,40134018,0113,0925417055,0000010
0964323132,      ,230228,7976859,230221,66482064191,     ,1,    1,    0,   203,    3600,       0,     0,       0, ,2,福岡県大野城,2,大野城営業所,0925801889,                ,40219001,0104,0925801889,0000120
0964323132,      ,230228,7976859,230221,66482064213,     ,1,    2,    0,   602,    8400,       0,     0,       0, ,2,福岡県太宰府,2,大野城営業所,0929220075,                ,40221009,0104,0929220075,0000300
0964323132,      ,230228,7976859,230221,66534221375,     ,1,    2,    0,   675,    9000,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925874341,                ,40134045,0113,0925874341,0000320
0964323132,      ,230228,7976859,230222,66482064224,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963258267,                ,43101038,0001,0963258267,0000010
0964323132,      ,230228,7976859,230222,66482064235,     ,1,    1,    0,     1,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963431178,                ,43101002,0001,0963431178,0000010
0964323132,      ,230228,7976859,230222,66482064246,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963664205,                ,43101056,0001,0963664205,0000010
0964323132,      ,230228,7976859,230222,66482064250,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963560759,                ,43101064,0001,0963560759,0000010
0964323132,      ,230228,7976859,230222,66482064261,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963220134,                ,43101103,0001,0963220134,0000010
0964323132,      ,230228,7976859,230222,66482064272,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963543040,                ,43101055,0001,0963543040,0000010
0964323132,      ,230228,7976859,230222,66482064283,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963560739,                ,43101044,0001,0963560739,0000010
0964323132,      ,230228,7976859,230222,66482064294,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,熊本市中央区,2,熊本支店　　,0963545495,                ,43101100,0001,0963545495,0000010
