得意先コード,部課所コード,締め日,請求書番号,発送年月日,原票番号,特殊コード,元着区分,個数,才数,重量,運賃,中継料,保険料,諸料金,諸料金区分,住所漢字区分,荷受人住所,名称漢字区分,荷受人名称,荷受人コード,お客様出荷番号,ＪＩＳコード,輸送距離,備考,サーチャージ料
0964323132,      ,240331,7996816,240301,48919879805,     ,1,    2,    0,   676,   30200,       0,     0,       0, ,2,止め　　　　,2,川越営業所　,          ,                ,        ,1310,          ,0002380
0964323132,      ,240331,7996816,240304,66594001666,     ,1,    3,    0,  1272,   15400,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925874341,                ,40134045,0113,0925874341,0000720
0964323132,      ,240331,7996816,240305,66594001670,     ,1,    1,    0,    10,     370,       0,     0,       0, ,2,福岡県福岡市,2,福岡中央　　,0926217131,                ,40131018,0113,0926217131,0000010
0964323132,      ,240331,7996816,240305,66594001681,     ,1,    1,    0,    82,    2000,       0,     0,       0, ,2,福岡県福岡市,2,福岡支店　　,0925536161,                ,40132017,0113,0925536161,0000060
0964323132,      ,240331,7996816,240305,66594001692,     ,1,    1,    0,     4,     360,       0,     0,       0, ,2,八代市松江城,2,八代営業所　,0965336131,                ,43202127,0041,0965336131,0000010
0964323132,      ,240331,7996816,240305,66594001703,     ,1,    1,    0,     2,     360,       0,     0,       0, ,2,玉名市岩崎１,2,大牟田　　　,0968751133,                ,43206008,0049,0968751133,0000010
0964323132,      ,240331,7996816,240305,66594001714,     ,1,    1,    0,     3,     360,       0,     0,       0, ,2,天草市東浜町,2,熊本支店　　,0969248812,                ,43215074,0106,0969248812,0000010
0964323132,      ,240331,7996816,240307,47596466315,     ,1,    2,    0,  1388,   16400,       0,     0,       0, ,2,糟屋郡新宮町,2,福岡箱崎営業,0929412566,                ,40345999,0113,          ,0000770
0964323132,      ,240331,7996816,240308,66594001725,     ,1,    1,    0,   174,    3000,       0,     0,       0, ,2,福岡県大野城,2,大野城営業所,0925801889,                ,40219001,0104,0925801889,0000100
0964323132,      ,240331,7996816,240308,66594001736,     ,1,    1,    0,   198,    3100,       0,     0,       0, ,2,福岡県福岡市,2,福岡支店　　,0922713767,                ,40132048,0113,0922713767,0000110
0964323132,      ,240331,7996816,240313,66633557782,     ,1,    2,    0,   695,    9000,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925874341,                ,40134045,0113,0925874341,0000390
0964323132,      ,240331,7996816,240313,66633557793,     ,1,    1,    0,    30,     370,       0,     0,       0, ,2,福岡県福岡市,2,福岡南営業所,0925417055,                ,40134018,0113,0925417055,0000020
0964323132,      ,240331,7996816,240313,66633557804,     ,1,    1,    0,    11,     360,       0,     0,       0, ,2,熊本県菊池市,2,熊本東（営）,0968251760,                ,43210022,0001,0968251760,0000010
0964323132,      ,240331,7996816,240313,66633557815,     ,1,    1,    0,     5,     360,       0,     0,       0, ,2,熊本県荒尾市,2,大牟田　　　,0968632585,                ,43204001,0049,0968632585,0000010
0964323132,      ,240331,7996816,240313,66633557826,     ,1,    3,    0,    24,     960,       0,     0,       0, ,2,熊本県熊本市,2,熊本東（営）,0962747474,                ,43105044,0001,0962747474,0000010
0964323132,      ,240331,7996816,240313,66633557830,     ,1,    1,    0,     3,     360,       0,     0,       0, ,2,熊本県熊本市,2,熊本支店　　,0963819263,                ,43101057,0001,0963819263,0000010
0964323132,      ,240331,7996816,240313,66633557841,     ,1,    1,    0,    15,     360,       0,     0,       0, ,2,熊本県熊本市,2,熊本東（営）,0963380611,                ,43105092,0001,0963380611,0000010
0964323132,      ,240331,7996816,240313,66633557852,     ,1,    3,    0,    27,     960,       0,     0,       0, ,2,熊本県菊池郡,2,熊本東（営）,0962346787,                ,43403020,0001,0962346787,0000010
0964323132,      ,240331,7996816,240313,66633557863,     ,1,    1,    0,     3,     360,       0,     0,       0, ,2,熊本県上益城,2,熊本支店　　,0962374912,                ,43442009,0001,0962374912,0000010
