用紙ID,銘柄（全）,紙色（全）,サイズ（半）,目（全）,重さ（半）
1397,ＯＫマットコートグリーン１００,,20,Ｙ,44.5
675,Ａカード＃２００,ミズ,21,Ｔ,180
1494,Ａカード＃１５０,ナチュラル,21,Ｔ,135
726,Ａカード＃２００,アイボリー,21,Ｔ,180
1313,Ａカード＃２００,ソラ,21,Ｔ,180
1244,Ａカード＃２５０,ソラ,21,Ｔ,225
730,Ａカード＃３００,モモ,21,Ｔ,270
674,Ａカード＃３００,濃クリーム,21,Ｔ,270
1445,Ａカード＃３５０,ワカクサ,21,Ｔ,1
1471,Ａカード＃４００,濃クリーム,21,Ｔ,360
1048,ＢＰコート＃１１０,シロ,21,Ｔ,1
1518,ＢＰコート＃１１０,クリーム,21,Ｔ,1
1522,ＢＰコート＃１１０,ピンク,21,Ｔ,1
1257,ＣＣＰ中葉　６０Ｗ,,25,Ｔ,1
1246,ＨＳＫアイボリー,,23,Ｔ,27.5
1355,ＪＥＴエースＦ,,29,Ｔ,31
1226,ＪＥＴエースＷ,,29,Ｔ,35
960,ＪＥＴエースＷ,,23,Ｔ,19
1272,ＭＩＣＲ用紙,,1,Ｔ,33.1
524,ＭＬファイバー,ウスアオ,21,Ｙ,160
1431,Ｍｒ，Ｂ,スーパーホワイト,21,Ｙ,135
1448,Ｍｒ，Ｂ,スーパーホワイト,23,Ｙ,76.5
1248,ＮＥＷウルトラＨ,,23,Ｙ,19.5
1252,ＮＴほそおり,スノーホワイト,21,Ｙ,130
947,ＮＴほそおり,ナチュラル,21,Ｙ,170
1345,ＮＴほそおりＧＡ,ナチュラル,21,Ｙ,170
1488,ＮＴストライプＧＡ,ライトグレー,21,Ｙ,130
1238,ＮＴラシャ,濃あい,21,Ｙ,130
1253,ＮＴラシャ,コイミドリ,21,Ｙ,130
273,ＮＴラシャ,フジ,21,Ｙ,130
1338,ＮＴラシャ,スノーホワイト,23,Ｙ,69.5
1339,ＮＴラシャ,うすはなだ,21,Ｙ,100
1373,ＮＴラシャ,ウスハナダ,21,Ｙ,100
1389,ＮＴラシャ,グレー１０,21,Ｙ,210
1390,ＮＴラシャ,にぶ緑,21,Ｙ,100
1406,ＮＴラシャ,ウスネズ,21,Ｙ,210
1419,ＮＴラシャ,グンジョウ,21,Ｙ,130
880,ＮＴラシャ,ギンネズ,21,Ｙ,130
1476,ＮＴラシャ,ネズミ,21,Ｙ,210
1477,ＮＴラシャ,アサギ,21,Ｙ,100
1478,ＮＴラシャ,ウスクリーム,21,Ｙ,100
1505,ＮＴラシャ,タバコ,21,Ｙ,100
1523,ＮＴラシャ,スノーホワイト,21,Ｙ,130
669,ＯＣＲ,,23,Ｔ,62.5
1403,ＯＫＡＣカード＃２５０,濃クリーム,21,Ｔ,222
1404,ＯＫＡＣカード＃２５０,ウスミズ,21,Ｔ,222
437,ＯＫアートポスト,,23,Ｙ,139
258,ＯＫアートポスト,,23,Ｙ,111
926,ＯＫアートポスト,,23,Ｙ,167
365,ＯＫアートポスト,,23,Ｙ,153
123,ＯＫアートポスト,,23,Ｔ,125
197,ＯＫアートポスト,,23,Ｙ,125
682,ＯＫアートポスト,,21,Ｙ,220
154,ＯＫアートポスト,,23,Ｔ,153
981,ＯＫアートポスト,,21,Ｔ,200
1186,ＯＫカイゼル,コイネズ,21,Ｙ,80
1402,ＯＫカイゼル,シロ,21,Ｙ,110
1215,ＯＫサンドカラー,ナス,21,Ｙ,120
1281,ＯＫトップコート,,20,Ｙ,70.5
